18	15	14	20	19	18	23	26	11	22	0	14	11	14	11	26	16	14	16	12	2	14	16	17	22	10	7	8	12	17	22	11	39	11	11	22	23	18	23	18	12	19	28	4	14	6	18	9	12	12	13	10	24	15	18	20	5	10	8	10	15	24	20	13	16	10	7	10	6	10	20	9	20	11	16	14	14	28	6	8	5	21	15	10	26	8	8	26	18	1	12	8	6	13	8	10	17	12	18	30	9	12	11	14	16	16	3	4	26	19	12	28	36	4	24	29	16	10	14	14	6	32	11
11	8	19	3	18	19	14	23	12	33	14	0	24	7	6	7	10	12	10	14	14	4	24	13	24	8	11	10	6	19	28	11	23	27	7	30	23	26	7	10	12	3	12	18	4	12	26	13	6	14	15	8	8	15	20	4	17	12	10	12	17	30	8	5	4	26	11	20	20	16	28	9	28	13	18	4	16	28	12	10	11	5	17	12	10	24	10	28	6	15	6	18	10	13	22	14	33	20	26	30	11	14	13	14	2	18	13	14	26	27	8	12	36	12	26	13	8	8	30	22	16	32	15
8	11	10	8	15	14	13	14	9	28	11	24	0	10	11	12	9	24	14	12	10	16	10	15	14	16	15	6	10	7	16	9	37	13	15	16	13	12	21	16	10	17	26	8	12	12	12	5	14	6	3	12	22	13	8	18	7	4	18	4	9	18	18	13	14	12	11	6	6	2	14	17	14	5	10	12	8	18	16	14	7	19	5	8	24	10	10	18	16	11	10	4	6	11	8	20	19	6	12	20	7	2	1	12	14	6	9	14	16	13	10	26	26	8	16	27	14	8	16	8	6	22	1
22	23	26	18	21	22	17	38	24	27	14	7	10	0	26	9	10	11	14	16	14	16	26	17	28	4	11	12	8	21	32	15	27	23	3	32	27	28	11	14	16	7	16	16	6	14	28	15	4	16	17	10	12	19	22	8	17	14	6	14	19	34	12	3	8	22	13	22	18	18	30	5	30	15	20	4	18	32	10	12	13	9	19	14	14	20	12	32	10	15	8	20	12	17	20	10	29	22	28	34	13	16	15	18	2	20	15	12	30	29	12	16	40	14	30	17	12	10	26	24	18	36	17
14	13	18	8	13	14	9	28	14	28	11	6	11	26	0	25	12	7	6	11	1	3	15	25	11	17	16	9	11	10	15	6	22	28	16	19	10	19	8	3	5	10	11	19	11	13	23	14	15	11	14	13	9	4	9	9	18	13	19	13	8	17	5	14	9	27	12	21	21	17	17	18	21	12	7	13	9	15	17	15	12	8	12	7	9	25	11	15	7	16	9	19	11	4	23	23	34	21	15	17	8	15	14	5	15	11	14	15	13	14	5	11	23	13	13	12	5	7	31	19	17	19	16
20	35	20	30	15	16	15	26	28	22	26	7	12	9	25	0	16	23	18	17	20	12	14	22	14	28	27	16	22	7	8	13	31	19	27	10	1	8	19	14	12	21	20	18	22	24	12	17	26	12	11	24	18	9	6	20	17	14	28	16	9	10	16	25	20	18	23	12	16	14	8	29	10	13	8	24	10	8	26	26	19	19	9	14	18	16	22	8	18	23	20	14	18	11	14	30	25	10	4	10	15	12	13	10	26	8	21	24	6	3	16	20	16	20	6	21	16	18	22	8	16	12	15
14	11	20	6	15	16	11	26	12	24	16	10	9	10	12	16	0	23	8	9	10	17	15	13	13	25	1	8	11	7	20	31	14	30	20	31	26	27	14	13	15	10	19	13	5	11	27	14	1	15	16	9	15	18	21	11	14	13	3	13	18	33	11	2	7	19	12	19	15	17	29	2	29	14	19	3	17	31	7	9	12	12	18	13	17	17	11	31	9	12	7	17	11	16	17	7	26	21	27	33	12	15	14	17	5	19	14	9	29	28	11	19	39	13	29	20	11	9	23	23	15	35	16
14	5	16	8	21	20	19	12	8	34	14	12	24	11	7	23	23	0	8	27	26	25	28	20	22	24	6	30	27	22	26	15	4	21	39	19	11	4	27	22	20	29	28	18	28	26	4	17	30	20	19	28	26	17	14	28	17	20	28	18	17	2	24	29	28	18	27	12	16	14	4	29	2	21	16	28	18	8	26	28	23	27	17	22	26	16	26	4	26	23	26	14	22	19	14	30	17	10	6	10	23	18	17	18	30	16	25	24	6	7	24	28	16	24	6	29	24	24	14	8	16	12	15
16	13	24	8	25	26	21	28	14	34	16	10	14	14	6	18	8	8	0	8	23	24	21	28	20	22	20	6	26	23	18	22	15	4	21	39	15	9	27	22	20	29	28	14	24	22	4	13	26	18	15	24	26	17	14	28	13	16	24	14	17	6	24	25	26	14	23	8	12	10	2	25	4	17	16	24	18	12	22	24	19	27	17	20	26	12	22	8	26	19	22	10	18	19	10	26	17	6	4	14	19	14	13	18	26	16	21	20	10	5	22	28	20	20	6	29	24	20	14	4	12	16	11
4	13	10	8	15	14	9	14	6	24	12	14	12	16	11	17	9	27	8	0	31	14	9	12	3	9	9	21	31	15	18	15	13	18	23	12	16	34	18	7	11	4	5	25	9	19	31	20	13	19	22	15	1	12	17	3	24	19	17	19	16	25	3	12	7	33	18	27	27	23	25	16	29	20	15	11	17	21	19	17	18	2	20	13	3	31	17	23	5	22	11	25	17	10	29	21	40	27	23	23	14	21	20	11	9	19	20	21	21	22	11	5	29	19	21	6	7	13	37	27	23	25	22
12	7	18	6	23	22	17	14	10	32	2	14	10	14	1	20	10	26	23	31	0	26	9	4	7	10	4	4	16	26	14	13	10	8	13	18	7	21	29	13	6	9	10	20	8	14	26	15	12	14	17	10	8	7	12	8	19	14	16	14	11	20	4	11	6	28	13	22	22	18	20	15	24	15	10	10	12	18	14	12	13	7	15	8	8	26	12	18	4	17	6	20	12	5	24	20	35	22	18	20	9	16	15	6	12	14	15	16	16	17	6	10	26	14	16	11	2	8	32	22	18	22	17
18	13	26	10	29	30	23	24	16	38	14	4	16	16	3	12	17	25	24	14	26	0	20	11	6	5	14	4	4	10	20	16	15	4	10	11	16	1	27	23	11	11	16	14	10	12	22	9	14	10	11	12	12	3	10	12	13	8	18	8	9	18	8	13	8	22	11	16	16	12	18	17	22	9	8	12	10	16	16	14	7	11	13	2	14	20	10	16	8	11	8	14	6	1	18	22	29	16	16	18	3	10	9	2	14	12	9	14	14	15	4	16	24	8	14	17	6	6	26	18	12	20	11
14	19	8	18	13	12	19	6	10	20	16	24	10	26	15	14	15	28	21	9	9	20	0	27	10	7	8	7	11	9	17	27	11	14	13	9	20	25	10	20	30	20	9	21	5	15	29	16	9	17	18	11	5	14	19	1	20	15	13	15	18	27	5	8	3	29	14	23	23	19	27	12	31	16	17	7	19	25	15	13	14	2	20	11	7	27	13	25	5	18	7	21	13	12	25	17	36	23	25	27	12	17	16	13	5	21	16	17	23	24	9	9	33	15	23	10	7	9	33	25	19	29	18
13	14	17	9	12	13	8	29	15	21	17	13	15	17	25	22	13	20	28	12	4	11	27	0	36	19	14	17	6	12	14	26	34	20	23	20	18	19	24	17	11	39	19	30	14	24	32	25	18	20	23	20	4	13	18	8	29	22	22	24	17	26	8	17	12	38	23	32	32	28	26	21	30	21	16	16	18	20	24	22	23	7	21	18	2	36	22	24	10	27	16	30	22	15	34	26	45	30	24	20	19	24	25	14	14	20	25	26	22	23	16	4	24	24	22	1	12	18	42	28	28	20	27
